x,y,z,Cell Type
646.81,27.467,3.1308,Unknown
184.93,198.36,0.80332,Unknown
606.38,159.22,8.7715,CD11B+ CD11C- cells
472.21,55.435,7.3055,Unknown
6.5158,382.68,7.9751,Unknown
695.61,7.3502,8.8188,Unknown
756.54,8.6575,23.792,Unknown
94.348,239.67,8.259,Unknown
527.32,29.327,19.226,Unknown
500.86,34.283,13.977,Unknown
515.22,32.72,18.676,Unknown
761.46,176.16,16.175,Unknown
518.54,24.001,21.134,Unknown
12.28,353.28,13.4,Tumor
726.18,5.8195,20.091,keratinocytes
739.81,143.01,16.17,Unknown
549.6,255.85,26.453,Unknown
151.7,190.94,12.102,Unknown
719.58,194.58,19.824,Unknown
163.82,224.24,24.195,keratinocytes
570.71,244.16,23.253,Unknown
463.39,255.71,12.841,Unknown
509.58,22.046,14.919,Unknown
722.51,185.28,13.555,Unknown
10.403,348.93,14.37,B cells
159.24,194.34,11.904,Unknown
136.09,210.91,10.871,Tumor
13.727,363.09,11.924,Unknown
475.81,30.768,20.922,Unknown
486.69,48.915,11.593,keratinocytes
200.84,189.7,14.727,keratinocytes
214.61,193.91,11.497,Unknown
697.16,198.09,15.928,Unknown
60.189,247.85,12.231,Unknown
37.955,263.74,15.87,keratinocytes
729.46,177.62,22.139,Unknown
87.892,221.0,27.081,Unknown
182.67,192.91,13.207,Unknown
161.7,194.72,12.557,Unknown
562.66,280.49,26.574,Unknown
487.69,58.016,15.106,keratinocytes
557.8,268.88,17.525,Unknown
629.37,13.138,12.836,keratinocytes
365.72,113.17,18.163,keratinocytes
179.61,192.82,12.724,Unknown
668.58,199.25,18.744,Unknown
132.0,235.02,15.921,keratinocytes
108.8,252.63,19.077,keratinocytes
517.83,287.21,12.006,Unknown
5.223,352.29,11.984,Macrophage
365.75,121.37,21.613,keratinocytes
147.41,191.19,12.066,Unknown
737.74,199.05,26.539,Unknown
159.26,200.94,11.829,keratinocytes
496.28,52.075,18.383,keratinocytes
751.6,137.52,23.758,Macrophage
608.88,159.56,10.837,CD11B+ CD11C- cells
185.3,190.78,14.191,Unknown
691.44,197.28,16.121,Unknown
761.58,198.41,14.786,Unknown
149.74,208.87,13.026,CD11B+ CD11C- cells
33.731,356.87,16.171,CD8 T
23.632,359.0,14.132,Tumor
494.2,46.421,12.698,keratinocytes
195.74,189.42,18.369,Unknown
214.38,196.97,13.926,Unknown
656.24,196.6,16.985,Unknown
483.31,53.529,12.961,Unknown
343.22,112.88,15.951,keratinocytes
348.12,135.54,22.178,keratinocytes
730.02,137.69,13.336,Unknown
749.49,190.26,24.166,Unknown
217.75,196.76,14.209,keratinocytes
120.18,209.49,12.318,Unknown
141.78,231.48,16.314,keratinocytes
521.96,51.239,16.555,Tumor
589.33,167.46,13.896,Unknown
648.14,195.54,14.557,Unknown
639.22,195.06,15.871,Unknown
148.64,222.34,13.892,Unknown
567.77,21.269,19.211,Unknown
481.94,57.417,15.962,keratinocytes
426.11,60.075,19.276,CD11B+ CD11C- cells
727.72,183.93,20.987,Unknown
692.15,185.97,25.41,Macrophage
217.28,199.59,15.69,CD11B+ CD11C- cells
112.08,241.48,14.138,CD4 T
125.24,251.64,32.455,keratinocytes
68.86,254.49,12.695,B cells
537.63,262.19,14.884,Unknown
15.738,359.23,14.584,Tumor
705.55,7.2044,16.108,Unknown
562.96,62.382,19.621,keratinocytes
157.76,194.0,16.183,Unknown
132.24,249.3,17.425,keratinocytes
710.14,24.214,37.18,keratinocytes
384.58,59.917,18.312,keratinocytes
731.65,172.82,18.444,Unknown
759.79,195.16,15.131,Unknown
721.87,195.18,14.706,Unknown
147.07,225.13,16.346,Unknown
123.01,234.57,15.5,keratinocytes
135.85,239.97,16.288,Tumor
113.13,258.69,26.084,Unknown
40.644,262.08,15.294,keratinocytes
11.085,359.66,14.64,Tumor
20.48,363.79,15.114,Tumor
626.49,6.8124,24.371,Unknown
573.85,17.299,21.155,Unknown
666.79,48.825,14.395,Tissue T
290.23,146.12,28.589,Unknown
738.5,186.61,24.569,Unknown
134.7,245.91,17.071,keratinocytes
561.01,259.28,20.732,Unknown
