tissue_type,cell_type_ontology_id,cell_type,Total
thymus,CL:0000057,fibroblast,3924
thymus,CL:0000077,mesothelial cell,12
thymus,CL:0000097,mast cell,11
thymus,CL:0000190,fast muscle cell,86
thymus,CL:0000232,erythrocyte,47
thymus,CL:0000235,macrophage,461
thymus,CL:0000236,B cell,1919
thymus,CL:0000359,vascular associated smooth muscle cell,2130
thymus,CL:0000451,dendritic cell,35
thymus,CL:0000492,CD4-positive helper T cell,7611
thymus,CL:0000576,monocyte,434
thymus,CL:0000625,"CD8-positive, alpha-beta T cell",349
thymus,CL:0000782,myeloid dendritic cell,3
thymus,CL:0000786,plasma cell,1554
thymus,CL:0000787,memory B cell,1845
thymus,CL:0000788,naive B cell,874
thymus,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",501
thymus,CL:0000807,DN3 thymocyte,1788
thymus,CL:0000808,DN4 thymocyte,32
thymus,CL:0000814,mature NK T cell,274
thymus,CL:0000823,immature natural killer cell,44
thymus,CL:0000893,thymocyte,553
thymus,CL:0000894,DN1 thymic pro-T cell,985
thymus,CL:0001065,innate lymphoid cell,2594
thymus,CL:0002038,T follicular helper cell,398
thymus,CL:0002138,endothelial cell of lymphatic vessel,271
thymus,CL:0002144,capillary endothelial cell,1362
thymus,CL:0002365,medullary thymic epithelial cell,166
thymus,CL:0002543,vein endothelial cell,2104
thymus,CL:0002677,naive regulatory T cell,761
thymus,CL:1000413,endothelial cell of artery,536
