tissue_type,cell_type_ontology_id,cell_type,Total
blood,CL:0000037,hematopoietic stem cell,716
blood,CL:0000049,common myeloid progenitor,3
blood,CL:0000094,granulocyte,8
blood,CL:0000232,erythrocyte,10892
blood,CL:0000233,platelet,3417
blood,CL:0000235,macrophage,514
blood,CL:0000236,B cell,20664
blood,CL:0000451,dendritic cell,1726
blood,CL:0000556,megakaryocyte,755
blood,CL:0000576,monocyte,13552
blood,CL:0000623,natural killer cell,50574
blood,CL:0000624,"CD4-positive, alpha-beta T cell",9350
blood,CL:0000625,"CD8-positive, alpha-beta T cell",65552
blood,CL:0000767,basophil,29
blood,CL:0000775,neutrophil,8584
blood,CL:0000776,immature neutrophil,2
blood,CL:0000784,plasmacytoid dendritic cell,153
blood,CL:0000786,plasma cell,843
blood,CL:0000787,memory B cell,3715
blood,CL:0000788,naive B cell,8571
blood,CL:0000789,alpha-beta T cell,31
blood,CL:0000791,mature alpha-beta T cell,43891
blood,CL:0000798,gamma-delta T cell,4285
blood,CL:0000800,mature gamma-delta T cell,4323
blood,CL:0000810,"CD4-positive, alpha-beta thymocyte",5858
blood,CL:0000811,"CD8-positive, alpha-beta thymocyte",2620
blood,CL:0000814,mature NK T cell,2948
blood,CL:0000815,regulatory T cell,2598
blood,CL:0000860,classical monocyte,66738
blood,CL:0000875,non-classical monocyte,10632
blood,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",18655
blood,CL:0000897,"CD4-positive, alpha-beta memory T cell",2157
blood,CL:0000898,naive T cell,1616
blood,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",2955
blood,CL:0000904,"central memory CD4-positive, alpha-beta T cell",23318
blood,CL:0000908,"CD8-positive, alpha-beta cytokine secreting effector T cell",1493
blood,CL:0000909,"CD8-positive, alpha-beta memory T cell",2753
blood,CL:0000913,"effector memory CD8-positive, alpha-beta T cell",21747
blood,CL:0000921,type I NK T cell,518
blood,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",2928
blood,CL:0000938,"CD16-negative, CD56-bright natural killer cell, human",1655
blood,CL:0000940,mucosal invariant T cell,3132
blood,CL:0000972,class switched memory B cell,28
blood,CL:0000980,plasmablast,325
blood,CL:0000982,IgG plasmablast,40
blood,CL:0000984,IgA plasmablast,132
blood,CL:0000990,conventional dendritic cell,5504
blood,CL:0001043,"activated CD4-positive, alpha-beta T cell, human",70
blood,CL:0001049,"activated CD8-positive, alpha-beta T cell, human",3
blood,CL:0001050,"effector CD8-positive, alpha-beta T cell",132
blood,CL:0001054,CD14-positive monocyte,2054
blood,CL:0001058,"plasmacytoid dendritic cell, human",2778
blood,CL:0002057,"CD14-positive, CD16-negative classical monocyte",20736
blood,CL:0002394,CD141-positive myeloid dendritic cell,15
blood,CL:0002397,"CD14-positive, CD16-positive monocyte",662
blood,CL:0002489,double negative thymocyte,152
blood,unknown,B intermediate,3307
blood,unknown,NK activated,37
blood,unknown,Stem cells and eosinophils,104
blood,unknown,T/NK proliferative,1045
