tissue_type,cell_type_ontology_id,cell_type,Total
islet of Langerhans,CL:0000115,endothelial cell,1532
islet of Langerhans,CL:0000169,type B pancreatic cell,10227
islet of Langerhans,CL:0000171,pancreatic A cell,9862
islet of Langerhans,CL:0000173,pancreatic D cell,1217
islet of Langerhans,CL:0000696,PP cell,485
islet of Langerhans,CL:0002064,pancreatic acinar cell,13749
islet of Langerhans,CL:0002079,pancreatic ductal cell,5792
islet of Langerhans,CL:0002410,pancreatic stellate cell,1160
islet of Langerhans,CL:0005019,pancreatic epsilon cell,181
islet of Langerhans,UBERON:0001264,pancreas,3040
pancreas,CL:0000057,fibroblast,47
pancreas,CL:0000084,T cell,573
pancreas,CL:0000097,mast cell,53
pancreas,CL:0000115,endothelial cell,2121
pancreas,CL:0000169,type B pancreatic cell,547
pancreas,CL:0000171,pancreatic A cell,883
pancreas,CL:0000173,pancreatic D cell,202
pancreas,CL:0000236,B cell,144
pancreas,CL:0000763,myeloid cell,1862
pancreas,CL:0000786,plasma cell,63
pancreas,CL:0000814,mature NK T cell,47
pancreas,CL:0002064,pancreatic acinar cell,5753
pancreas,CL:0002079,pancreatic ductal cell,2677
pancreas,CL:0002275,pancreatic PP cell,169
pancreas,CL:0002410,pancreatic stellate cell,393
pancreas,CL:0005019,pancreatic epsilon cell,3
pancreas,CL:0008019,mesenchymal cell,78
pancreas,CL:0008024,pancreatic endocrine cell,8
