tissue_type,cell_type_ontology_id,cell_type,Total
lung,CL:0000057,fibroblast,336
lung,CL:0000071,blood vessel endothelial cell,47
lung,CL:0000077,mesothelial cell,17
lung,CL:0000158,club cell,1038
lung,CL:0000186,myofibroblast cell,10
lung,CL:0000192,smooth muscle cell,25
lung,CL:0000235,macrophage,12160
lung,CL:0000236,B cell,87
lung,CL:0000359,vascular associated smooth muscle cell,80
lung,CL:0000451,dendritic cell,316
lung,CL:0000624,"CD4-positive, alpha-beta T cell",2536
lung,CL:0000625,"CD8-positive, alpha-beta T cell",2943
lung,CL:0000646,basal cell,2188
lung,CL:0000669,pericyte cell,213
lung,CL:0000767,basophil,686
lung,CL:0000775,neutrophil,174
lung,CL:0000784,plasmacytoid dendritic cell,18
lung,CL:0000786,plasma cell,134
lung,CL:0000790,immature alpha-beta T cell,171
lung,CL:0000791,mature alpha-beta T cell,98
lung,CL:0000810,"CD4-positive, alpha-beta thymocyte",3056
lung,CL:0000811,"CD8-positive, alpha-beta thymocyte",3350
lung,CL:0000814,mature NK T cell,132
lung,CL:0000860,classical monocyte,1487
lung,CL:0000875,non-classical monocyte,1005
lung,CL:0001044,"effector CD4-positive, alpha-beta T cell",132
lung,CL:0001050,"effector CD8-positive, alpha-beta T cell",80
lung,CL:0002062,type I pneumocyte,211
lung,CL:0002063,type II pneumocyte,9146
lung,CL:0002138,endothelial cell of lymphatic vessel,47
lung,CL:0002144,capillary endothelial cell,1534
lung,CL:0002370,respiratory goblet cell,762
lung,CL:0002393,intermediate monocyte,252
lung,CL:0002503,adventitial cell,373
lung,CL:0002543,vein endothelial cell,508
lung,CL:0002598,bronchial smooth muscle cell,81
lung,CL:0017000,pulmonary ionocyte,19
lung,CL:1000271,lung ciliated cell,602
lung,CL:1000331,serous cell of epithelium of bronchus,15
lung,CL:1000413,endothelial cell of artery,187
lung,CL:2000016,lung microvascular endothelial cell,485
lung epithelium,CL:0000064,ciliated cell,2057
lung epithelium,CL:0000151,secretory cell,10526
lung epithelium,CL:0000646,basal cell,6721
lung epithelium,unknown,FOXN4+ cells,57
lung epithelium (cell culture),unknown,unknown,32730
