tissue_type,cell_type_ontology_id,cell_type,Total
bone marrow,CL:0000037,hematopoietic stem cell,617
bone marrow,CL:0000038,erythroid progenitor cell,757
bone marrow,CL:0000049,common myeloid progenitor,287
bone marrow,CL:0000094,granulocyte,853
bone marrow,CL:0000232,erythrocyte,87
bone marrow,CL:0000235,macrophage,265
bone marrow,CL:0000576,monocyte,1389
bone marrow,CL:0000624,"CD4-positive, alpha-beta T cell",4541
bone marrow,CL:0000625,"CD8-positive, alpha-beta T cell",2079
bone marrow,CL:0000775,neutrophil,2911
bone marrow,CL:0000786,plasma cell,825
bone marrow,CL:0000787,memory B cell,310
bone marrow,CL:0000788,naive B cell,142
bone marrow,CL:0000790,immature alpha-beta T cell,49
bone marrow,CL:0000791,mature alpha-beta T cell,87
bone marrow,CL:0000810,"CD4-positive, alpha-beta thymocyte",2275
bone marrow,CL:0000811,"CD8-positive, alpha-beta thymocyte",806
bone marrow,CL:0000814,mature NK T cell,678
bone marrow,CL:0000980,plasmablast,4
